FBID	SYMBOL	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	logCPM_RepVsCs	LR_RepVsCs	PValue_RepVsCs	logFC_RNAiVsCs	logCPM_RNAiVsCs	LR_RNAiVsCs	PValue_RNAiVsCs
FBgn0000008	a	0.923349768848771	5.95628484553262	12.8204361481398	0.00034285379128554	0.436959903663586	5.95628484553262	2.88910463924585	0.0891804744758513	0.398417119404426	5.95628484553262	2.40805260857513	0.120712448273345
FBgn0000052	Pfas	0.61749525143288	4.51406685643037	4.21799379694066	0.0399974254308704	0.8016011756229	4.51406685643037	7.05066126396972	0.00792359949964803	0.84976870934381	4.51406685643037	7.92152204964152	0.00488501589350674
FBgn0000078	Amy-d	-2.43433278144392	2.73969378696681	6.05791918309473	0.0138440710980987	0.264868196521673	2.73969378696681	0.0808833590661067	0.776103860257123	1.85232695771674	2.73969378696681	3.73940313847695	0.0531434253296445
FBgn0000119	arr	-0.366291252658839	6.12952575532953	3.95192018688096	0.0468179160215252	-0.105977892002074	6.12952575532953	0.33079791305444	0.565189625278622	-0.333035249202175	6.12952575532953	3.25775577370094	0.0710863532839691
FBgn0000140	asp	1.64135615143348	3.80297559419746	31.0390343725142	2.5289101673954e-08	1.5184798287162	3.80297559419746	26.4639769952574	2.68498667587572e-07	2.07746739920937	3.80297559419746	48.8402748797678	2.77678859853654e-12
FBgn0000244	by	0.65850182401624	5.54304907816377	8.1499428087296	0.00430625191209016	0.0497876877431683	5.54304907816377	0.0464754014852922	0.82931394441713	-0.216644401956304	5.54304907816377	0.878856364893007	0.348515103229122
FBgn0000299	Col4a1	2.39936936073373	0.965761804128582	4.49613718684804	0.033971511554475	1.63259976114251	0.965761804128582	2.15606354869047	0.142008082466445	0.214165503738981	0.965761804128582	0.0376850377936115	0.846076953731368
FBgn0000395	cv-2	0.6041012752216	5.19684635260659	4.23517548161414	0.0395945302954653	0.52831522918776	5.19684635260659	3.23627288921967	0.0720243132900037	-0.604706010050603	5.19684635260659	4.17930381620866	0.040920506725121
FBgn0000404	CycA	0.970708627609959	4.4995581742189	15.8523331489168	6.848205049303e-05	0.820034262101455	4.4995581742189	11.2526494821848	0.000795094427445688	1.45992940385502	4.4995581742189	35.3093687546102	2.81275740475e-09
FBgn0000405	CycB	1.25672520013235	3.72862432952941	16.2709621497801	5.48988453698124e-05	1.04220002263544	3.72862432952941	11.1537666227626	0.000838612269338812	1.4756722742309	3.72862432952941	22.2045031562008	2.45098262454822e-06
FBgn0000463	Delta	1.27271754831988	6.77536335880711	27.0812011843473	1.95085863287364e-07	0.962284493182753	6.77536335880711	15.6405005126326	7.6596373905246e-05	1.39050354918268	6.77536335880711	32.1303262035321	1.44169234237293e-08
FBgn0000477	DNaseII	1.33241798265048	2.47321413983527	6.05341160420579	0.0138794546612368	0.884137854294727	2.47321413983527	2.67009517959809	0.102249908502187	2.0353477957498	2.47321413983527	13.7130790887962	0.000212966197322812
FBgn0000721	for	-0.47020966212506	8.39399240552672	7.2059686323872	0.00726615222096511	-0.252366211074245	8.39399240552672	2.08103828366841	0.149138700802641	-0.689943742676171	8.39399240552672	15.4134613572334	8.63708243392313e-05
FBgn0000810	fs(1)K10	0.593044587591682	3.93140823660782	4.74211943883837	0.0294327897558967	0.706522959504984	3.93140823660782	6.68635735282197	0.00971535192378381	0.201366393797445	3.93140823660782	0.540401002871133	0.462266585374439
FBgn0000996	dup	0.705982573614729	3.74452947090356	6.32864951277971	0.0118802750315366	0.706939076761728	3.74452947090356	6.28524800050165	0.0121747040574621	1.23816390966739	3.74452947090356	19.2501605094099	1.14660737920853e-05
FBgn0001149	GstD1	0.483135981092654	6.27549224181528	4.03802519330594	0.0444858496795801	0.278428719522446	6.27549224181528	1.34020839575969	0.246997220549974	0.381311015448286	6.27549224181528	2.51370484833887	0.112860323328696
FBgn0001186	Hex-A	0.638663705611064	6.46705036677144	6.03105943139845	0.0140562942147363	-0.396396527907751	6.46705036677144	2.3193245528604	0.127775499020333	-0.498044730057496	6.46705036677144	3.65848814525583	0.0557842306179854
FBgn0001197	His2Av	0.512785058222557	5.29600057905425	4.93983387104417	0.0262445589860291	0.32553722038491	5.29600057905425	1.98219806991844	0.159159036081484	0.816890625367795	5.29600057905425	12.4492988201632	0.000418148767240455
FBgn0002174	CG5504	0.586636672474297	4.75872453836996	4.4418212217035	0.0350688187322692	0.645710465646403	4.75872453836996	5.34796100438481	0.0207465186279756	0.781453259196529	4.75872453836996	7.83236443866379	0.0051318925161096
FBgn0002466	sti	1.44725180516397	4.06084036437251	10.610161068832	0.00112467892175057	1.52261525039274	4.06084036437251	11.6747418151027	0.000633543319165847	2.03371304119234	4.06084036437251	20.3005362868633	6.61820311201341e-06
FBgn0002542	lds	0.482963353597463	4.03577093467112	4.61556404591712	0.0316830737138785	0.432254469787234	4.03577093467112	3.65222224783597	0.0559944528163551	0.495137220553426	4.03577093467112	4.80561059506324	0.0283672126176906
